,ticker,bought_date,trade_size,bought_price,price,atr,stop_loss,dynamic_stop_loss,profit_exit,dynamic_profit_exit,trade_type,sell_date
156,FLIR,2019-09-26,13.0,53.540000915527344,53.540000915527344,0.9471075221098555,52.59289339341749,52.59320747959772,56.38132348185691,56.38132348185691,buy,
157,CHTR,2019-09-20,2.0,420.3500061035156,411.0,7.289312887900775,413.06069321561483,414.50123598601715,442.21794476721794,442.5363311044486,sell,2019-09-26
158,HD,2019-09-27,3.0,229.86000061035156,229.86000061035156,3.791588841679458,226.0684117686721,226.06856813339368,241.23476713538994,241.23476713538994,buy,
159,NEM,2019-09-06,3.0,38.65999984741211,38.400001525878906,1.0271678117650127,37.6328320356471,39.2099957973517,41.74150328270715,43.530016270054276,sell,2019-09-27
160,NEM,2019-09-30,1.0,37.91999816894531,37.91999816894531,1.0529964812204855,36.86700168772483,36.86700964054278,41.07898761260677,41.07898761260677,buy,
161,FLIR,2019-09-26,13.0,53.540000915527344,52.59000015258789,0.9471075221098555,52.59289339341749,52.59320747959772,56.38132348185691,56.38132348185691,sell,2019-09-30
162,WMT,2019-10-07,7.0,117.2300033569336,117.2300033569336,1.653949981159911,115.57605337577368,115.57605337577368,122.19185330041333,122.19443442386066,buy,
163,DE,2019-10-07,3.0,166.5500030517578,166.5500030517578,3.461542109939431,163.08846094181837,163.0891478288323,176.93462938157612,176.93462938157612,buy,
164,DISH,2019-10-07,2.0,33.150001525878906,33.150001525878906,0.9397003477333749,32.21030117814553,32.210356551160054,35.969102569079034,35.969102569079034,buy,
165,MLM,2019-08-22,3.0,255.11000061035156,262.1099853515625,5.3600574655279365,249.74994314482362,268.7068218942444,271.19017300693537,290.2795587313293,sell,2019-10-07
166,NRG,2019-09-12,29.0,38.290000915527344,38.91999816894531,0.7482068445504201,37.54179407097693,39.07042653941077,40.5346214491786,41.828713667900516,sell,2019-10-07
167,SYY,2019-09-16,6.0,77.19000244140625,78.22000122070312,1.2121286212392208,75.97787382016703,78.36965288794102,80.82638830512391,82.5059149286712,sell,2019-10-07
168,EVRG,2019-09-23,12.0,66.19999694824219,65.62999725341797,0.8788658594949071,65.32113108874728,66.45609869283778,68.83659452672691,69.87169415586165,sell,2019-10-07
169,HD,2019-09-27,3.0,229.86000061035156,226.74000549316406,3.791588841679458,226.0684117686721,228.3040542682625,241.23476713538994,243.16785428505628,sell,2019-10-07
170,EIX,2019-10-08,35.0,74.7300033569336,74.7300033569336,1.3654013262773723,73.36460203065621,73.36476860307089,78.82620733576572,78.82620733576572,buy,
